CIE10,Descripción Diagnóstico,Cantidad,Genero,Período de consulta
C221,CARCINOMA DE VIAS BILIARES INTRAHEPATICAS,1,F,01/01/2019-31/12/2020
C23X,TUMOR MALIGNO DE LA VESICULA BILIAR,2,F,01/01/2019-31/12/2020
C241,TUMOR MALIGNO DE LA AMPOLLA DE VATER,1,F,01/01/2019-31/12/2020
C259,"TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C269,TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ORGANOS DIGESTIVOS,1,F,01/01/2019-31/12/2020
C300,TUMOR MALIGNO DE LA FOSA NASAL,1,F,01/01/2019-31/12/2020
C342,"TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON",1,F,01/01/2019-31/12/2020
C343,"TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON",1,F,01/01/2019-31/12/2020
C349,"TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA",3,F,01/01/2019-31/12/2020
C437,"MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",1,F,01/01/2019-31/12/2020
C441,"TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL",1,F,01/01/2019-31/12/2020
C443,TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA,1,F,01/01/2019-31/12/2020
C448,LESION DE SITIOS CONTIGUOS DE LA PIEL,1,F,01/01/2019-31/12/2020
C451,MESOTELIOMA DEL PERITONEO,1,F,01/01/2019-31/12/2020
C482,"TUMOR MALIGNO DEL PERITONEO, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
C490,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO",1,F,01/01/2019-31/12/2020
C501,TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA,2,F,01/01/2019-31/12/2020
C505,TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA,1,F,01/01/2019-31/12/2020
C508,LESION DE SITIOS CONTIGUOS DE LA MAMA,2,F,01/01/2019-31/12/2020
C509,"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",8,F,01/01/2019-31/12/2020
C530,TUMOR MALIGNO DEL ENDOCERVIX,1,F,01/01/2019-31/12/2020
C539,"TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
C541,TUMOR MALIGNO DEL ENDOMETRIO,2,F,01/01/2019-31/12/2020
C55X,"TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C56X,TUMOR MALIGNO DEL OVARIO,2,F,01/01/2019-31/12/2020
C674,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA,1,F,01/01/2019-31/12/2020
C678,LESION DE SITIOS CONTIGUOS DE LA VEJIGA,2,F,01/01/2019-31/12/2020
C679,"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
C694,TUMOR MALIGNO DEL CUERPO CILIAR,1,F,01/01/2019-31/12/2020
C698,LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS,2,F,01/01/2019-31/12/2020
C710,"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS",4,F,01/01/2019-31/12/2020
C711,TUMOR MALIGNO DEL LOBULO FRONTAL,3,F,01/01/2019-31/12/2020
C73X,TUMOR MALIGNO DE LA GLANDULA TIROIDES,3,F,01/01/2019-31/12/2020
C763,TUMOR MALIGNO DE LA PELVIS,1,F,01/01/2019-31/12/2020
C830,LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS (DIFUSO),1,F,01/01/2019-31/12/2020
C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN DIFUSO,1,F,01/01/2019-31/12/2020
C839,"LINFOMA NO HODGKIN DIFUSO, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
C900,MIELOMA MULTIPLE,1,F,01/01/2019-31/12/2020
D067,CARCINOMA IN SITU DE OTRAS PARTES ESPECIFICADAS DEL CUELLO DEL UTERO,2,F,01/01/2019-31/12/2020
D141,TUMOR BENIGNO DE LA LARINGE,1,F,01/01/2019-31/12/2020
D180,"HEMANGIOMA, DE CUALQUIER SITIO",2,F,01/01/2019-31/12/2020
D210,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO",1,F,01/01/2019-31/12/2020
D252,LEIOMIOMA SUBSEROSO DEL UTERO,2,F,01/01/2019-31/12/2020
D259,"LEIOMIOMA DEL UTERO, SIN OTRA ESPECIFICACION",6,F,01/01/2019-31/12/2020
D27X,TUMOR BENIGNO DEL OVARIO,2,F,01/01/2019-31/12/2020
D34X,TUMOR BENIGNO DE LA GLANDULA TIROIDES,1,F,01/01/2019-31/12/2020
D371,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ESTOMAGO,1,F,01/01/2019-31/12/2020
D374,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL COLON,2,F,01/01/2019-31/12/2020
D391,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,1,F,01/01/2019-31/12/2020
D397,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS GENITALES FEMENINOS,1,F,01/01/2019-31/12/2020
D412,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL URETER,1,F,01/01/2019-31/12/2020
D430,"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO, SUPRATENTORIAL",1,F,01/01/2019-31/12/2020
D432,"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO, PARTE NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
D440,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA TIROIDES,2,F,01/01/2019-31/12/2020
D477,"OTROS TUMORES ESPECIFICADOS DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES",1,F,01/01/2019-31/12/2020
D484,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL PERITONEO,1,F,01/01/2019-31/12/2020
D486,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,1,F,01/01/2019-31/12/2020
D487,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS ESPECIFICADOS,1,F,01/01/2019-31/12/2020
D489,"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO, DE SITIO NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
D500,ANEMIA POR DEFICIENCIA DE HIERRO SECUNDARIA A PERDIDA DE SANGRE (CRONICA),1,F,01/01/2019-31/12/2020
D508,OTRAS ANEMIAS POR DEFICIENCIA DE HIERRO,7,F,01/01/2019-31/12/2020
D509,ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION,11,F,01/01/2019-31/12/2020
D594,OTRAS ANEMIAS HEMOLITICAS NO AUTOINMUNES,1,F,01/01/2019-31/12/2020
D648,OTRAS ANEMIAS ESPECIFICADAS,3,F,01/01/2019-31/12/2020
D649,ANEMIA DE TIPO NO ESPECIFICADO,40,F,01/01/2019-31/12/2020
D688,OTROS DEFECTOS ESPECIFICADOS DE LA COAGULACION,4,F,01/01/2019-31/12/2020
D689,"DEFECTO DE LA COAGULACION, NO ESPECIFICADO",3,F,01/01/2019-31/12/2020
D690,PURPURA ALERGICA,1,F,01/01/2019-31/12/2020
D692,OTRAS PURPURAS NO TROMBOCITOPENICAS,2,F,01/01/2019-31/12/2020
D693,PURPURA TROMBOCITOPENICA IDIOPATICA,9,F,01/01/2019-31/12/2020
D694,OTRAS TROMBOCITOPENIAS PRIMARIAS,1,F,01/01/2019-31/12/2020
D696,TROMBOCITOPENIA NO ESPECIFICADA,29,F,01/01/2019-31/12/2020
D71X,TRASTORNOS FUNCIONALES DE LOS POLIMORFONUCLEARES NEUTROFILOS,1,F,01/01/2019-31/12/2020
D77X,OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1,F,01/01/2019-31/12/2020
D890,HIPERGAMMAGLOBULINEMIA POLICLONAL,2,F,01/01/2019-31/12/2020
E031,HIPOTIROIDISMO CONGENITO SIN BOCIO,3,F,01/01/2019-31/12/2020
E038,OTROS HIPOTIROIDISMOS ESPECIFICADOS,1,F,01/01/2019-31/12/2020
E039,"HIPOTIROIDISMO, NO ESPECIFICADO",2,F,01/01/2019-31/12/2020
E049,"BOCIO NO TOXICO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
E058,OTRAS TIROTOXICOSIS,1,F,01/01/2019-31/12/2020
E059,"TIROTOXICOSIS, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
E101,DIABETES MELLITUS INSULINODEPENDIENTE CON CETOACIDOSIS,5,F,01/01/2019-31/12/2020
E103,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES OFTALMICAS,1,F,01/01/2019-31/12/2020
E104,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS,1,F,01/01/2019-31/12/2020
E105,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES CIRCULATORIAS PERIFERICAS,3,F,01/01/2019-31/12/2020
E106,DIABETES MELLITUS INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS,6,F,01/01/2019-31/12/2020
E107,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES MULTIPLES,1,F,01/01/2019-31/12/2020
E108,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NO ESPECIFICADAS,13,F,01/01/2019-31/12/2020
E109,DIABETES MELLITUS INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,24,F,01/01/2019-31/12/2020
E111,DIABETES MELLITUS NO INSULINODEPENDIENTE CON CETOACIDOSIS,2,F,01/01/2019-31/12/2020
E114,DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS,1,F,01/01/2019-31/12/2020
E116,DIABETES MELLITUS NO INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS,4,F,01/01/2019-31/12/2020
E117,DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES MULTIPLES,1,F,01/01/2019-31/12/2020
E118,DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES NO ESPECIFICADAS,7,F,01/01/2019-31/12/2020
E119,DIABETES MELLITUS NO INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,21,F,01/01/2019-31/12/2020
E131,OTRAS DIABETES MELLITUS ESPECIFICADAS CON CETOACIDOSIS,1,F,01/01/2019-31/12/2020
E139,OTRAS DIABETES MELLITUS ESPECIFICADAS SIN MENCION DE COMPLICACION,4,F,01/01/2019-31/12/2020
E141,"DIABETES MELLITUS, NO ESPECIFICADA CON CETOACIDOSIS",1,F,01/01/2019-31/12/2020
E149,"DIABETES MELLITUS, NO ESPECIFICADA SIN MENCION DE COMPLICACION",9,F,01/01/2019-31/12/2020
E160,"HIPOGLICEMIA SIN COMA, INDUCIDA POR DROGAS",2,F,01/01/2019-31/12/2020
E161,OTRAS HIPOGLICEMIAS,6,F,01/01/2019-31/12/2020
E162,"HIPOGLICEMIA , NO ESPECIFICADA",19,F,01/01/2019-31/12/2020
E208,OTROS TIPOS DE HIPOPARATIROIDISMO,1,F,01/01/2019-31/12/2020
E282,SINDROME DE OVARIO POLIQUISTICO,1,F,01/01/2019-31/12/2020
E43X,"DESNUTRICION PROTEICOCALORICA SEVERA, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
E46X,"DESNUTRICION PROTEICOCALORICA , NO ESPECIFICADA",2,F,01/01/2019-31/12/2020
E760,MUCOPOLISACARIDOSIS TIPO I,56,F,01/01/2019-31/12/2020
E761,MUCOPOLISACARIDOSIS TIPO II,3,F,01/01/2019-31/12/2020
E763,MUCOPOLISACARIDOSIS NO ESPECIFICADA,4,F,01/01/2019-31/12/2020
E784,OTRA HIPERLIPIDEMIA,1,F,01/01/2019-31/12/2020
E835,TRASTORNOS DEL METABOLISMO DEL CALCIO,2,F,01/01/2019-31/12/2020
E849,"FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
E86X,DEPLECION DEL VOLUMEN,21,F,01/01/2019-31/12/2020
E878,"OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOS, NO CLASIFICADOS EN OTRA PARTE",78,F,01/01/2019-31/12/2020
F018,OTRAS DEMENCIAS VASCULARES,1,F,01/01/2019-31/12/2020
F019,"DEMENCIA VASCULAR, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
F03X,"DEMENCIA , NO ESPECIFICADA",2,F,01/01/2019-31/12/2020
F04X,"SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ACOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS",1,F,01/01/2019-31/12/2020
F058,OTROS DELIRIOS,1,F,01/01/2019-31/12/2020
F059,"DELIRIO, NO ESPECIFICADO",5,F,01/01/2019-31/12/2020
F064,"TRASTORNO DE ANSIEDAD, ORGANICO",5,F,01/01/2019-31/12/2020
F066,"TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO",1,F,01/01/2019-31/12/2020
F069,TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA,1,F,01/01/2019-31/12/2020
F078,"OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES",2,F,01/01/2019-31/12/2020
F09X,"TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
F100,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA,1,F,01/01/2019-31/12/2020
F101,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO,2,F,01/01/2019-31/12/2020
F109,"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
F110,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: INTOXICACION AGUDA,1,F,01/01/2019-31/12/2020
F117,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO,1,F,01/01/2019-31/12/2020
F130,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA,1,F,01/01/2019-31/12/2020
F145,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO,1,F,01/01/2019-31/12/2020
F180,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA,1,F,01/01/2019-31/12/2020
F190,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA,3,F,01/01/2019-31/12/2020
F197,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO,1,F,01/01/2019-31/12/2020
F200,ESQUIZOFRENIA PARANOIDE,4,F,01/01/2019-31/12/2020
F204,DEPRESION POSTESQUIZOFRENICA,1,F,01/01/2019-31/12/2020
F208,OTRAS ESQUIZOFRENIAS,7,F,01/01/2019-31/12/2020
F209,"ESQUIZOFRENIA, NO ESPECIFICADA",4,F,01/01/2019-31/12/2020
F232,TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO,5,F,01/01/2019-31/12/2020
F233,"OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES",4,F,01/01/2019-31/12/2020
F238,OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,4,F,01/01/2019-31/12/2020
F239,"TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO",1,F,01/01/2019-31/12/2020
F258,OTROS TRASTORNOS ESQUIZOAFECTIVOS,1,F,01/01/2019-31/12/2020
F259,"TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
F28X,OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO,1,F,01/01/2019-31/12/2020
F29X,"PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA",4,F,01/01/2019-31/12/2020
F309,"EPISODIO MANIACO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
F312,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS",10,F,01/01/2019-31/12/2020
F313,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO",1,F,01/01/2019-31/12/2020
F314,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS",1,F,01/01/2019-31/12/2020
F315,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS",2,F,01/01/2019-31/12/2020
F316,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE",3,F,01/01/2019-31/12/2020
F317,"TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION",1,F,01/01/2019-31/12/2020
F318,OTROS TRASTORNOS AFECTIVOS BIPOLARES,2,F,01/01/2019-31/12/2020
F319,"TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO",4,F,01/01/2019-31/12/2020
F320,EPISODIO DEPRESIVO LEVE,6,F,01/01/2019-31/12/2020
F321,EPISODIO DEPRESIVO MODERADO,5,F,01/01/2019-31/12/2020
F322,EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS,3,F,01/01/2019-31/12/2020
F323,EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS,5,F,01/01/2019-31/12/2020
F328,OTROS EPISODIOS DEPRESIVOS,2,F,01/01/2019-31/12/2020
F329,"EPISODIO DEPRESIVO, NO ESPECIFICADO",4,F,01/01/2019-31/12/2020
F330,"TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE",1,F,01/01/2019-31/12/2020
F409,"TRASTORNO FOBICO DE ANSIEDAD, NO ESPECIFICADO",2,F,01/01/2019-31/12/2020
F411,TRASTORNO DE ANSIEDAD GENERALIZADA,4,F,01/01/2019-31/12/2020
F412,TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION,35,F,01/01/2019-31/12/2020
F413,OTROS TRASTORNOS DE ANSIEDAD MIXTOS,2,F,01/01/2019-31/12/2020
F418,OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS,7,F,01/01/2019-31/12/2020
F419,"TRASTORNO DE ANSIEDAD , NO ESPECIFICADO",43,F,01/01/2019-31/12/2020
F447,TRASTORNOS DISOCIATIVOS MIXTOS [Y DE CONVERSION],1,F,01/01/2019-31/12/2020
